name;city;adress;longitude;latitude;
Vinyl Pub;Olsztyn;Piastowska 4a;53.7763373;20.477109;
Pub Browaru PROBUS;Oława;Młyńska 16;50.9419861;17.3013260551391;
Delikatesy;Opole;Krakowska 30a;50.6655156;17.9245097;
Pod Arkadami;Opole;Rynek 26;50.667933;17.9232568;
Piwiarnia u Bossmana;Ostrów Wielkopolski;Odolanowska 1;51.64223318959271;17.79847090692279;
Piwosfera;Piła;Śródmiejska 1;53.14977295;16.7350118207611;
Zbrojownia;Płock;Plac Gabriela Narutowicza 8;52.54221285814776;19.688404030505257;
Chmielnik;Poznań;Żydowska 27;52.4103251;16.9355159;
Dom Piwa;Poznań;Mokra 2;52.4099145;16.9347347571168;
Fermentownia;Poznań;Kwiatowa 2/1a;52.4025561;16.9302642;
Istny;Poznań;Podgórna 12;52.406207;16.9298151;
Jabeerwocky Poznań ;Poznań;Wrocławska 11;52.4068678;16.9332657;
Lot Chmiela;Poznań;Żydowska 4;52.4094931;16.934932;
Ministerstwo Browaru;Poznań;Ratajczaka 34;52.40609577282721;16.925321124693728;
Ministerstwo Browaru;Poznań;Wroniecka 16;52.4102616;16.9343076;
Napiwek Pub;Poznań;Wodna 12;52.4073631;16.9367815;
Piwna Stopa;Poznań;Szewska   ;52.40932588563578;16.93661863926318;
Van Gogh;Poznań;Żydowska 12;52.4099925;16.9350917;
Wściekły Chmiel;Poznań;Żydowska 10;52.4098318;16.9349261337893;
Browar Alternatywa;Ruda Śląska;Tylna 17;50.3106781;18.8827430109503;
Zbeereźnik;Rybnik;plac Wolności 1a;50.09621482031485;18.544597620344916;
Lord Jack;Rzeszów;Rynek 4;50.03709850254883;22.00429819273929;
Stara Drukarnia;Rzeszów;Bożnicza 6;50.0379323777349;22.007549265086627;
AleBrowar Sopot;Sopot;Podjazd 11;54.4425729;18.5612401;
Konsultant Dobrego Piwa;Sopot;Generała Władysława Sikorskiego 12;54.4419979;18.5571144348093;
No. 5;Sopot;Bohaterów Monte Cassino 5/U2;54.44311450950575;18.560346935605136;
Cesarska;Sosnowiec;3 Maja 7;50.2768669;19.1248464;
Nowy Browar;Szczecin;Partyzantów 2;53.4238548;14.5498824;
